prompt_id,kind,task,prompt_idx,partner_id,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,query_input,query_output,prompt
171,query_only,knowledge/football_player_position,35,170,,,,,,,,,,,,,,,,,,,,,Graham Taylor,defender,Graham Taylor →
172,icl,knowledge/football_player_position,36,173,Tom De Mul,Jim Zorn,Erik Kramer,Vicente Engonga,Blaine Lacher,Alfie Moore,Danny Trevathan,David Mendes da Silva,Antonio Candreva,Lou Saban,midfielder,quarterback,quarterback,midfielder,goaltender,goaltender,linebacker,midfielder,midfielder,linebacker,Graham Taylor,defender,"Tom De Mul → midfielder
Jim Zorn → quarterback
Erik Kramer → quarterback
Vicente Engonga → midfielder
Blaine Lacher → goaltender
Alfie Moore → goaltender
Danny Trevathan → linebacker
David Mendes da Silva → midfielder
Antonio Candreva → midfielder
Lou Saban → linebacker
Graham Taylor →"
173,query_only,knowledge/football_player_position,36,172,,,,,,,,,,,,,,,,,,,,,Steve McNair,quarterback,Steve McNair →
174,icl,knowledge/football_player_position,37,175,Tuukka Rask,Robbie Earle,John Grabow,Craig Breslow,Thierry Omeyer,Mike Liut,Kevin Thomson,Scott Sinclair,Bob Mason,Abner Dalrymple,goaltender,midfielder,pitcher,pitcher,goalkeeper,goaltender,midfielder,midfielder,goaltender,outfielder,Steve McNair,quarterback,"Tuukka Rask → goaltender
Robbie Earle → midfielder
John Grabow → pitcher
Craig Breslow → pitcher
Thierry Omeyer → goalkeeper
Mike Liut → goaltender
Kevin Thomson → midfielder
Scott Sinclair → midfielder
Bob Mason → goaltender
Abner Dalrymple → outfielder
Steve McNair →"
175,query_only,knowledge/football_player_position,37,174,,,,,,,,,,,,,,,,,,,,,EJ Manuel,quarterback,EJ Manuel →
176,icl,knowledge/football_player_position,38,177,Von Miller,Vincenzo Italiano,Diniyar Bilyaletdinov,Zico,Andre Tippett,Joe Magrane,Jon Casey,Chuck Howley,Dean Furman,Kim Bokamper,linebacker,midfielder,midfielder,midfielder,linebacker,pitcher,goaltender,linebacker,midfielder,linebacker,EJ Manuel,quarterback,"Von Miller → linebacker
Vincenzo Italiano → midfielder
Diniyar Bilyaletdinov → midfielder
Zico → midfielder
Andre Tippett → linebacker
Joe Magrane → pitcher
Jon Casey → goaltender
Chuck Howley → linebacker
Dean Furman → midfielder
Kim Bokamper → linebacker
EJ Manuel →"
177,query_only,knowledge/football_player_position,38,176,,,,,,,,,,,,,,,,,,,,,Gary Kubiak,quarterback,Gary Kubiak →
178,icl,knowledge/football_player_position,39,179,Trevor Kidd,Nolan Schaefer,Eli Whiteside,Ichiro Suzuki,Leung Tsz Chun,Mike Piazza,Erik Kramer,Jeff Reese,Tedy Bruschi,Vincenzo Italiano,goaltender,goaltender,catcher,outfielder,midfielder,catcher,quarterback,goaltender,linebacker,midfielder,Gary Kubiak,quarterback,"Trevor Kidd → goaltender
Nolan Schaefer → goaltender
Eli Whiteside → catcher
Ichiro Suzuki → outfielder
Leung Tsz Chun → midfielder
Mike Piazza → catcher
Erik Kramer → quarterback
Jeff Reese → goaltender
Tedy Bruschi → linebacker
Vincenzo Italiano → midfielder
Gary Kubiak →"
179,query_only,knowledge/football_player_position,39,178,,,,,,,,,,,,,,,,,,,,,Lorenzo Crisetig,midfielder,Lorenzo Crisetig →
180,icl,knowledge/football_player_position,40,181,Craig Breslow,Geoffrey Kondogbia,Runar Berg,Alexi Ogando,Lee Bell,Erik Ersberg,Brian Cushing,Sean Glennon,Daniele Dessena,Todd Marinovich,pitcher,midfielder,midfielder,pitcher,midfielder,goaltender,linebacker,quarterback,midfielder,quarterback,Lorenzo Crisetig,midfielder,"Craig Breslow → pitcher
Geoffrey Kondogbia → midfielder
Runar Berg → midfielder
Alexi Ogando → pitcher
Lee Bell → midfielder
Erik Ersberg → goaltender
Brian Cushing → linebacker
Sean Glennon → quarterback
Daniele Dessena → midfielder
Todd Marinovich → quarterback
Lorenzo Crisetig →"
181,query_only,knowledge/football_player_position,40,180,,,,,,,,,,,,,,,,,,,,,Gary Hogeboom,quarterback,Gary Hogeboom →
182,icl,knowledge/football_player_position,41,183,Ulrich Le Pen,Éric Djemba-Djemba,Santi Cazorla,Calum Chambers,Bert Jones,Luis Tiant,Isaiah Osbourne,Michael Boley,Brian Maisonneuve,Jacques Plante,midfielder,midfielder,midfielder,defender,quarterback,pitcher,midfielder,linebacker,midfielder,goaltender,Gary Hogeboom,quarterback,"Ulrich Le Pen → midfielder
Éric Djemba-Djemba → midfielder
Santi Cazorla → midfielder
Calum Chambers → defender
Bert Jones → quarterback
Luis Tiant → pitcher
Isaiah Osbourne → midfielder
Michael Boley → linebacker
Brian Maisonneuve → midfielder
Jacques Plante → goaltender
Gary Hogeboom →"
183,query_only,knowledge/football_player_position,41,182,,,,,,,,,,,,,,,,,,,,,Giuseppe Baresi,midfielder,Giuseppe Baresi →
184,icl,knowledge/football_player_position,42,185,Pascal Leclaire,Lavonte David,David Degen,Dave Winfield,Rasmus Lindgren,Don Horn,Juan Fernando Quintero,Jonathan Goff,Alex Auld,Ricardo Gallego,goaltender,linebacker,midfielder,outfielder,midfielder,quarterback,midfielder,linebacker,goaltender,midfielder,Giuseppe Baresi,midfielder,"Pascal Leclaire → goaltender
Lavonte David → linebacker
David Degen → midfielder
Dave Winfield → outfielder
Rasmus Lindgren → midfielder
Don Horn → quarterback
Juan Fernando Quintero → midfielder
Jonathan Goff → linebacker
Alex Auld → goaltender
Ricardo Gallego → midfielder
Giuseppe Baresi →"
185,query_only,knowledge/football_player_position,42,184,,,,,,,,,,,,,,,,,,,,,Ioan Lupescu,midfielder,Ioan Lupescu →
186,icl,knowledge/football_player_position,43,187,Graeme Souness,Ben Mauk,Trevor Kidd,Joe Ferguson,Johan Holmqvist,Guy Moussi,Jerry Sisemore,Mike Teel,Clete Thomas,Blaine Lacher,midfielder,quarterback,goaltender,quarterback,goaltender,midfielder,tackle,quarterback,outfielder,goaltender,Ioan Lupescu,midfielder,"Graeme Souness → midfielder
Ben Mauk → quarterback
Trevor Kidd → goaltender
Joe Ferguson → quarterback
Johan Holmqvist → goaltender
Guy Moussi → midfielder
Jerry Sisemore → tackle
Mike Teel → quarterback
Clete Thomas → outfielder
Blaine Lacher → goaltender
Ioan Lupescu →"
187,query_only,knowledge/football_player_position,43,186,,,,,,,,,,,,,,,,,,,,,Hatem Ben Arfa,midfielder,Hatem Ben Arfa →
188,icl,knowledge/football_player_position,44,189,Mike Garcia,Shamweel Qasim,Fabio Pecchia,Leung Tsz Chun,Giuseppe Baresi,Pelle Lindbergh,Darrin Fletcher,Marc Crosas,Lee Sharpe,Jeff Reese,pitcher,midfielder,midfielder,midfielder,midfielder,goaltender,catcher,midfielder,midfielder,goaltender,Hatem Ben Arfa,midfielder,"Mike Garcia → pitcher
Shamweel Qasim → midfielder
Fabio Pecchia → midfielder
Leung Tsz Chun → midfielder
Giuseppe Baresi → midfielder
Pelle Lindbergh → goaltender
Darrin Fletcher → catcher
Marc Crosas → midfielder
Lee Sharpe → midfielder
Jeff Reese → goaltender
Hatem Ben Arfa →"
189,query_only,knowledge/football_player_position,44,188,,,,,,,,,,,,,,,,,,,,,Joe Theismann,quarterback,Joe Theismann →
190,icl,knowledge/football_player_position,45,191,Ubaldo Righetti,Otto Graham,Vince Coleman,Anders Ågnes Konradsen,Bob Essensa,Mojtaba Jabbari,Scott Hatteberg,Jim Edmonds,Greg Maddux,Archie Manning,defender,quarterback,outfielder,midfielder,goaltender,midfielder,catcher,outfielder,pitcher,quarterback,Joe Theismann,quarterback,"Ubaldo Righetti → defender
Otto Graham → quarterback
Vince Coleman → outfielder
Anders Ågnes Konradsen → midfielder
Bob Essensa → goaltender
Mojtaba Jabbari → midfielder
Scott Hatteberg → catcher
Jim Edmonds → outfielder
Greg Maddux → pitcher
Archie Manning → quarterback
Joe Theismann →"
191,query_only,knowledge/football_player_position,45,190,,,,,,,,,,,,,,,,,,,,,Greg Maddux,pitcher,Greg Maddux →
192,icl,knowledge/football_player_position,46,193,Atlee Hammaker,Dallas Keuchel,Alex Stalock,Simon Rolfes,Kurt Warner,Carson Coffman,Kevin Thomson,Kelly Stouffer,Don McPherson,Ronnie Ekelund,pitcher,pitcher,goaltender,midfielder,quarterback,quarterback,midfielder,quarterback,quarterback,midfielder,Greg Maddux,pitcher,"Atlee Hammaker → pitcher
Dallas Keuchel → pitcher
Alex Stalock → goaltender
Simon Rolfes → midfielder
Kurt Warner → quarterback
Carson Coffman → quarterback
Kevin Thomson → midfielder
Kelly Stouffer → quarterback
Don McPherson → quarterback
Ronnie Ekelund → midfielder
Greg Maddux →"
193,query_only,knowledge/football_player_position,46,192,,,,,,,,,,,,,,,,,,,,,Nelson Cruz,outfielder,Nelson Cruz →
194,icl,knowledge/football_player_position,47,195,Mike Richter,Ross Verba,Warren Sapp,Mark Malone,Marcelo Mattos,Tony Conigliaro,Frank Brimsek,Morgan Schneiderlin,George Mihai Florescu,Derrick Brooks,goaltender,guard,tackle,quarterback,midfielder,outfielder,goaltender,midfielder,midfielder,linebacker,Nelson Cruz,outfielder,"Mike Richter → goaltender
Ross Verba → guard
Warren Sapp → tackle
Mark Malone → quarterback
Marcelo Mattos → midfielder
Tony Conigliaro → outfielder
Frank Brimsek → goaltender
Morgan Schneiderlin → midfielder
George Mihai Florescu → midfielder
Derrick Brooks → linebacker
Nelson Cruz →"
195,query_only,knowledge/football_player_position,47,194,,,,,,,,,,,,,,,,,,,,,Johnny Baldwin,linebacker,Johnny Baldwin →
196,icl,knowledge/football_player_position,48,197,Cory Wade,Robert Marve,Graeme Souness,Nilton Fernandes,Yannick Carter,Tiago Mendes,Wayne Corden,Keith Peacock,Gareth Barry,Francisco Liriano,pitcher,quarterback,midfielder,midfielder,linebacker,midfielder,midfielder,midfielder,midfielder,pitcher,Johnny Baldwin,linebacker,"Cory Wade → pitcher
Robert Marve → quarterback
Graeme Souness → midfielder
Nilton Fernandes → midfielder
Yannick Carter → linebacker
Tiago Mendes → midfielder
Wayne Corden → midfielder
Keith Peacock → midfielder
Gareth Barry → midfielder
Francisco Liriano → pitcher
Johnny Baldwin →"
197,query_only,knowledge/football_player_position,48,196,,,,,,,,,,,,,,,,,,,,,Brian Hayward,goaltender,Brian Hayward →
198,icl,knowledge/football_player_position,49,199,Kirk Rueter,Joao Plata,Fernando De Napoli,Vincent Laban,Steve Barber,Rusney Castillo,Kevin Kampl,Kamohelo Mokotjo,Magdi Abdelghani,Tony Conigliaro,pitcher,forward,midfielder,midfielder,pitcher,outfielder,midfielder,midfielder,midfielder,outfielder,Brian Hayward,goaltender,"Kirk Rueter → pitcher
Joao Plata → forward
Fernando De Napoli → midfielder
Vincent Laban → midfielder
Steve Barber → pitcher
Rusney Castillo → outfielder
Kevin Kampl → midfielder
Kamohelo Mokotjo → midfielder
Magdi Abdelghani → midfielder
Tony Conigliaro → outfielder
Brian Hayward →"
199,query_only,knowledge/football_player_position,49,198,,,,,,,,,,,,,,,,,,,,,Giuliano Victor de Paula,midfielder,Giuliano Victor de Paula →
200,icl,knowledge/location_continent,0,201,Cape Burks,Rutgers Glacier,George VI Ice Shelf,Yambol Peak,Aviator Glacier,Germany,Worcester Range,Hammer Point,Mount Lister,Wright Inlet,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Sentinel Range,Antarctica,"Cape Burks → Antarctica
Rutgers Glacier → Antarctica
George VI Ice Shelf → Antarctica
Yambol Peak → Antarctica
Aviator Glacier → Antarctica
Germany → Europe
Worcester Range → Antarctica
Hammer Point → Antarctica
Mount Lister → Antarctica
Wright Inlet → Antarctica
Sentinel Range →"
201,query_only,knowledge/location_continent,0,200,,,,,,,,,,,,,,,,,,,,,Kohler Range,Antarctica,Kohler Range →
202,icl,knowledge/location_continent,1,203,Slovakia,Cape Hordern,Douglas Peaks,Balochistan,Barrientos Island,Soviet Union,Denton Glacier,Dion Islands,Uranus Glacier,Veleka Ridge,Europe,Antarctica,Antarctica,Asia,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Kohler Range,Antarctica,"Slovakia → Europe
Cape Hordern → Antarctica
Douglas Peaks → Antarctica
Balochistan → Asia
Barrientos Island → Antarctica
Soviet Union → Europe
Denton Glacier → Antarctica
Dion Islands → Antarctica
Uranus Glacier → Antarctica
Veleka Ridge → Antarctica
Kohler Range →"
203,query_only,knowledge/location_continent,1,202,,,,,,,,,,,,,,,,,,,,,Vantaa,Europe,Vantaa →
204,icl,knowledge/location_continent,2,205,Kotis Point,Chad Basin,East Francia,Eros Glacier,Crystal Sound,Achaean Range,Hercules Inlet,Hudson Mountains,Mount Harding,Borg Massif,Antarctica,Africa,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Vantaa,Europe,"Kotis Point → Antarctica
Chad Basin → Africa
East Francia → Europe
Eros Glacier → Antarctica
Crystal Sound → Antarctica
Achaean Range → Antarctica
Hercules Inlet → Antarctica
Hudson Mountains → Antarctica
Mount Harding → Antarctica
Borg Massif → Antarctica
Vantaa →"
205,query_only,knowledge/location_continent,2,204,,,,,,,,,,,,,,,,,,,,,Palmer Land,Antarctica,Palmer Land →
206,icl,knowledge/location_continent,3,207,Iran,Pidgeon Island,Bruce Plateau,Roman Four Promontory,Signy Island,Pourquoi Pas Point,Paulding Bay,Morocco,Odbert Island,Sequence Hills,Asia,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Africa,Antarctica,Antarctica,Palmer Land,Antarctica,"Iran → Asia
Pidgeon Island → Antarctica
Bruce Plateau → Antarctica
Roman Four Promontory → Antarctica
Signy Island → Antarctica
Pourquoi Pas Point → Antarctica
Paulding Bay → Antarctica
Morocco → Africa
Odbert Island → Antarctica
Sequence Hills → Antarctica
Palmer Land →"
207,query_only,knowledge/location_continent,3,206,,,,,,,,,,,,,,,,,,,,,Payer Mountains,Antarctica,Payer Mountains →
208,icl,knowledge/location_continent,4,209,Basel,William Scoresby Archipelago,Malta Plateau,Kirkpatrick Glacier,Miziya Peak,Pensacola Mountains,Terra Nova Bay,Reeves Glacier,Edward VIII Bay,Gambacorta Peak,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Payer Mountains,Antarctica,"Basel → Europe
William Scoresby Archipelago → Antarctica
Malta Plateau → Antarctica
Kirkpatrick Glacier → Antarctica
Miziya Peak → Antarctica
Pensacola Mountains → Antarctica
Terra Nova Bay → Antarctica
Reeves Glacier → Antarctica
Edward VIII Bay → Antarctica
Gambacorta Peak → Antarctica
Payer Mountains →"
209,query_only,knowledge/location_continent,4,208,,,,,,,,,,,,,,,,,,,,,Douglas Range,Antarctica,Douglas Range →
210,icl,knowledge/location_continent,5,211,Mount Dallmann,Morris Rock,Von Essen Mountain,Conrad Mountains,Fredriksen Island,Gibraltar,Tisza,Victory Mountains,David Island,Dundee Island,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Europe,Antarctica,Antarctica,Antarctica,Douglas Range,Antarctica,"Mount Dallmann → Antarctica
Morris Rock → Antarctica
Von Essen Mountain → Antarctica
Conrad Mountains → Antarctica
Fredriksen Island → Antarctica
Gibraltar → Europe
Tisza → Europe
Victory Mountains → Antarctica
David Island → Antarctica
Dundee Island → Antarctica
Douglas Range →"
211,query_only,knowledge/location_continent,5,210,,,,,,,,,,,,,,,,,,,,,Brabant Island,Antarctica,Brabant Island →
212,icl,knowledge/location_continent,6,213,Jammu and Kashmir,Trail Inlet,Athens,Equatorial Guinea,Dundee Island,Mount Fridtjof Nansen,Gordon Glacier,Lake Vostok,Katowice,Kryvyi Rih,Asia,Antarctica,Europe,Africa,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Europe,Brabant Island,Antarctica,"Jammu and Kashmir → Asia
Trail Inlet → Antarctica
Athens → Europe
Equatorial Guinea → Africa
Dundee Island → Antarctica
Mount Fridtjof Nansen → Antarctica
Gordon Glacier → Antarctica
Lake Vostok → Antarctica
Katowice → Europe
Kryvyi Rih → Europe
Brabant Island →"
213,query_only,knowledge/location_continent,6,212,,,,,,,,,,,,,,,,,,,,,Splettstoesser Glacier,Antarctica,Splettstoesser Glacier →
214,icl,knowledge/location_continent,7,215,Mertz Glacier,Berkner Island,Cape Adriasola,Mozambique,Petvar Heights,North Holland,Viking Age,Herbert Range,Possession Islands,Denmark,Antarctica,Antarctica,Antarctica,Africa,Antarctica,Europe,Europe,Antarctica,Antarctica,Europe,Splettstoesser Glacier,Antarctica,"Mertz Glacier → Antarctica
Berkner Island → Antarctica
Cape Adriasola → Antarctica
Mozambique → Africa
Petvar Heights → Antarctica
North Holland → Europe
Viking Age → Europe
Herbert Range → Antarctica
Possession Islands → Antarctica
Denmark → Europe
Splettstoesser Glacier →"
215,query_only,knowledge/location_continent,7,214,,,,,,,,,,,,,,,,,,,,,Benin,Africa,Benin →
216,icl,knowledge/location_continent,8,217,Booth Island,Lazarev Ice Shelf,Mount Discovery,Lavoisier Island,Mule Peninsula,Plana Peak,Marsh Glacier,Nye Mountains,English Channel,Deep Freeze Range,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Antarctica,Benin,Africa,"Booth Island → Antarctica
Lazarev Ice Shelf → Antarctica
Mount Discovery → Antarctica
Lavoisier Island → Antarctica
Mule Peninsula → Antarctica
Plana Peak → Antarctica
Marsh Glacier → Antarctica
Nye Mountains → Antarctica
English Channel → Europe
Deep Freeze Range → Antarctica
Benin →"
217,query_only,knowledge/location_continent,8,216,,,,,,,,,,,,,,,,,,,,,Exarchate of Ravenna,Europe,Exarchate of Ravenna →
218,icl,knowledge/location_continent,9,219,Ireland,Melnik Peak,Victor Bay,Senegambia Confederation,Cape Shirreff,Lovech Heights,Morris Rock,Bowman Peninsula,Balochistan,Griffith Glacier,Europe,Antarctica,Antarctica,Africa,Antarctica,Antarctica,Antarctica,Antarctica,Asia,Antarctica,Exarchate of Ravenna,Europe,"Ireland → Europe
Melnik Peak → Antarctica
Victor Bay → Antarctica
Senegambia Confederation → Africa
Cape Shirreff → Antarctica
Lovech Heights → Antarctica
Morris Rock → Antarctica
Bowman Peninsula → Antarctica
Balochistan → Asia
Griffith Glacier → Antarctica
Exarchate of Ravenna →"
219,query_only,knowledge/location_continent,9,218,,,,,,,,,,,,,,,,,,,,,Slovakia,Europe,Slovakia →
220,icl,knowledge/location_continent,10,221,Mirabito Range,Pecora Escarpment,Chester Cone,Stabben,Hutton Mountains,Huntress Glacier,Hoseason Island,Victor Bay,Cordiner Peaks,Wales,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Slovakia,Europe,"Mirabito Range → Antarctica
Pecora Escarpment → Antarctica
Chester Cone → Antarctica
Stabben → Antarctica
Hutton Mountains → Antarctica
Huntress Glacier → Antarctica
Hoseason Island → Antarctica
Victor Bay → Antarctica
Cordiner Peaks → Antarctica
Wales → Europe
Slovakia →"
221,query_only,knowledge/location_continent,10,220,,,,,,,,,,,,,,,,,,,,,Owen Ridge,Antarctica,Owen Ridge →
222,icl,knowledge/location_continent,11,223,Indigirka River,Victoria Upper Glacier,Grindley Plateau,Mendelssohn Inlet,Penney Bay,Collins Harbour,Jammu and Kashmir,Cape Longing,Alexander Island,Jorum Glacier,Asia,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Asia,Antarctica,Antarctica,Antarctica,Owen Ridge,Antarctica,"Indigirka River → Asia
Victoria Upper Glacier → Antarctica
Grindley Plateau → Antarctica
Mendelssohn Inlet → Antarctica
Penney Bay → Antarctica
Collins Harbour → Antarctica
Jammu and Kashmir → Asia
Cape Longing → Antarctica
Alexander Island → Antarctica
Jorum Glacier → Antarctica
Owen Ridge →"
223,query_only,knowledge/location_continent,11,222,,,,,,,,,,,,,,,,,,,,,Astrolabe Glacier,Antarctica,Astrolabe Glacier →
224,icl,knowledge/location_continent,12,225,Emmanuel Glacier,Chester Cone,Cobham Range,Von Essen Mountain,Equatorial Guinea,Qatar,Lambert Glacier,Hesperides Hill,Ferrer Point,Peshtera Glacier,Antarctica,Antarctica,Antarctica,Antarctica,Africa,Asia,Antarctica,Antarctica,Antarctica,Antarctica,Astrolabe Glacier,Antarctica,"Emmanuel Glacier → Antarctica
Chester Cone → Antarctica
Cobham Range → Antarctica
Von Essen Mountain → Antarctica
Equatorial Guinea → Africa
Qatar → Asia
Lambert Glacier → Antarctica
Hesperides Hill → Antarctica
Ferrer Point → Antarctica
Peshtera Glacier → Antarctica
Astrolabe Glacier →"
225,query_only,knowledge/location_continent,12,224,,,,,,,,,,,,,,,,,,,,,Mount Kempe,Antarctica,Mount Kempe →
226,icl,knowledge/location_continent,13,227,Imperial Trans-Antarctic Expedition,Mount Schuyler,Anare Mountains,Melilla,Rezen Saddle,Mount Stephenson,Entente Florale,Cape Hordern,Nigeria,Prespa Glacier,Antarctica,Antarctica,Antarctica,Africa,Antarctica,Antarctica,Europe,Antarctica,Africa,Antarctica,Mount Kempe,Antarctica,"Imperial Trans-Antarctic Expedition → Antarctica
Mount Schuyler → Antarctica
Anare Mountains → Antarctica
Melilla → Africa
Rezen Saddle → Antarctica
Mount Stephenson → Antarctica
Entente Florale → Europe
Cape Hordern → Antarctica
Nigeria → Africa
Prespa Glacier → Antarctica
Mount Kempe →"
227,query_only,knowledge/location_continent,13,226,,,,,,,,,,,,,,,,,,,,,Guest Peninsula,Antarctica,Guest Peninsula →
228,icl,knowledge/location_continent,14,229,California Plateau,Borchgrevink Glacier,Gibraltar,Beardmore Glacier,Mount Weaver,Flask Glacier,Cape Evensen,Bertha Island,Fleming Glacier,Mundraga Bay,Antarctica,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Guest Peninsula,Antarctica,"California Plateau → Antarctica
Borchgrevink Glacier → Antarctica
Gibraltar → Europe
Beardmore Glacier → Antarctica
Mount Weaver → Antarctica
Flask Glacier → Antarctica
Cape Evensen → Antarctica
Bertha Island → Antarctica
Fleming Glacier → Antarctica
Mundraga Bay → Antarctica
Guest Peninsula →"
229,query_only,knowledge/location_continent,14,228,,,,,,,,,,,,,,,,,,,,,Denfeld Mountains,Antarctica,Denfeld Mountains →
230,icl,knowledge/location_continent,15,231,Cape Burks,Recovery Glacier,Lake Vanda,Fish Islands,Stonehouse Bay,Arctowski Peninsula,Shipton Ridge,Cape Evans,Gordon Glacier,Saudi Arabia,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Asia,Denfeld Mountains,Antarctica,"Cape Burks → Antarctica
Recovery Glacier → Antarctica
Lake Vanda → Antarctica
Fish Islands → Antarctica
Stonehouse Bay → Antarctica
Arctowski Peninsula → Antarctica
Shipton Ridge → Antarctica
Cape Evans → Antarctica
Gordon Glacier → Antarctica
Saudi Arabia → Asia
Denfeld Mountains →"
231,query_only,knowledge/location_continent,15,230,,,,,,,,,,,,,,,,,,,,,Kaveri River,Asia,Kaveri River →
232,icl,knowledge/location_continent,16,233,Katowice,Anderson Hills,Cugnot Ice Piedmont,Gair Mesa,Gelderland,Rotch Dome,Edward VIII Bay,Svarthamaren Mountain,South Beaches,Mercator Ice Piedmont,Europe,Antarctica,Antarctica,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Kaveri River,Asia,"Katowice → Europe
Anderson Hills → Antarctica
Cugnot Ice Piedmont → Antarctica
Gair Mesa → Antarctica
Gelderland → Europe
Rotch Dome → Antarctica
Edward VIII Bay → Antarctica
Svarthamaren Mountain → Antarctica
South Beaches → Antarctica
Mercator Ice Piedmont → Antarctica
Kaveri River →"
233,query_only,knowledge/location_continent,16,232,,,,,,,,,,,,,,,,,,,,,Northeast Glacier,Antarctica,Northeast Glacier →
234,icl,knowledge/location_continent,17,235,Mount Harker,Rouen Mountains,Scar Inlet,Cape Williams,Ford Ranges,Gornergrat,Publications Ice Shelf,Convoy Range,Scotland,Moldova,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Antarctica,Antarctica,Europe,Europe,Northeast Glacier,Antarctica,"Mount Harker → Antarctica
Rouen Mountains → Antarctica
Scar Inlet → Antarctica
Cape Williams → Antarctica
Ford Ranges → Antarctica
Gornergrat → Europe
Publications Ice Shelf → Antarctica
Convoy Range → Antarctica
Scotland → Europe
Moldova → Europe
Northeast Glacier →"
235,query_only,knowledge/location_continent,17,234,,,,,,,,,,,,,,,,,,,,,Lamplugh Island,Antarctica,Lamplugh Island →
236,icl,knowledge/location_continent,18,237,Jones Bluffs,Hannah Point,Tbilisi,Rouen Mountains,Mirabito Range,Beaumont Bay,Air New Zealand Flight 901,Mount Harker,Cape Rey,Ioannes Paulus II Peninsula,Antarctica,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Lamplugh Island,Antarctica,"Jones Bluffs → Antarctica
Hannah Point → Antarctica
Tbilisi → Europe
Rouen Mountains → Antarctica
Mirabito Range → Antarctica
Beaumont Bay → Antarctica
Air New Zealand Flight 901 → Antarctica
Mount Harker → Antarctica
Cape Rey → Antarctica
Ioannes Paulus II Peninsula → Antarctica
Lamplugh Island →"
237,query_only,knowledge/location_continent,18,236,,,,,,,,,,,,,,,,,,,,,Mobiloil Inlet,Antarctica,Mobiloil Inlet →
238,icl,knowledge/location_continent,19,239,Kohler Range,Brown Hills,Qatar,Block Bay,Namibia,Berwick Glacier,Hilton Inlet,Northwind Glacier,Darley Hills,Scotland,Antarctica,Antarctica,Asia,Antarctica,Africa,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Mobiloil Inlet,Antarctica,"Kohler Range → Antarctica
Brown Hills → Antarctica
Qatar → Asia
Block Bay → Antarctica
Namibia → Africa
Berwick Glacier → Antarctica
Hilton Inlet → Antarctica
Northwind Glacier → Antarctica
Darley Hills → Antarctica
Scotland → Europe
Mobiloil Inlet →"
239,query_only,knowledge/location_continent,19,238,,,,,,,,,,,,,,,,,,,,,Eiger,Europe,Eiger →
240,icl,knowledge/location_continent,20,241,Mount Wade,Kaliakra Glacier,Morozumi Range,Danco Coast,Tundzha Glacier,Daman and Diu,Pirrit Hills,Bosnia and Herzegovina,Northeast Glacier,Basel,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Asia,Antarctica,Europe,Antarctica,Europe,Eiger,Europe,"Mount Wade → Antarctica
Kaliakra Glacier → Antarctica
Morozumi Range → Antarctica
Danco Coast → Antarctica
Tundzha Glacier → Antarctica
Daman and Diu → Asia
Pirrit Hills → Antarctica
Bosnia and Herzegovina → Europe
Northeast Glacier → Antarctica
Basel → Europe
Eiger →"
241,query_only,knowledge/location_continent,20,240,,,,,,,,,,,,,,,,,,,,,Rambo Nunataks,Antarctica,Rambo Nunataks →
242,icl,knowledge/location_continent,21,243,Jones Mountains,Segura,Posadowsky Bay,Borg Massif,California Plateau,Coulman Island,Mount Spivey,Matusevich Glacier,Daman and Diu,Athens,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Asia,Europe,Rambo Nunataks,Antarctica,"Jones Mountains → Antarctica
Segura → Europe
Posadowsky Bay → Antarctica
Borg Massif → Antarctica
California Plateau → Antarctica
Coulman Island → Antarctica
Mount Spivey → Antarctica
Matusevich Glacier → Antarctica
Daman and Diu → Asia
Athens → Europe
Rambo Nunataks →"
243,query_only,knowledge/location_continent,21,242,,,,,,,,,,,,,,,,,,,,,Crevasse Valley Glacier,Antarctica,Crevasse Valley Glacier →
